Country,Year,HepatitisB,Measles,BMI,Polio,Diphtheria,HIV/AIDS,Alcohol,LifeExpectancy 
Austria,2009,83.0,49.0,54.7,83.0,83.0,0.1,11.3,82.0
Austria,2008,83.0,448.0,54.2,83.0,83.0,0.1,12.0,84.0
Austria,2007,85.0,20.0,53.7,85.0,85.0,0.1,12.5,81.0
Austria,2006,83.0,23.0,53.2,83.0,83.0,0.1,12.4,79.8
Austria,2005,86.0,9.0,52.7,86.0,86.0,0.1,12.4,79.4
Austria,2004,83.0,15.0,52.2,83.0,83.0,0.1,12.1,79.3
Austria,2003,83.0,90.0,51.7,84.0,84.0,0.1,12.2,78.8
Austria,2002,81.0,0.0,51.2,82.0,83.0,0.1,12.5,78.7
Austria,2001,44.0,0.0,5.6,83.0,84.0,0.1,12.4,78.6
Austria,2000,33.0,0.0,5.1,71.0,81.0,0.1,13.2,78.1
Azerbaijan,2015,96.0,0.0,52.5,98.0,96.0,0.1,0.0,72.7
Azerbaijan,2014,94.0,0.0,51.5,97.0,94.0,0.1,0.0,72.5
Azerbaijan,2013,93.0,164.0,5.6,96.0,93.0,0.1,2.1,72.2
Azerbaijan,2012,88.0,0.0,49.7,92.0,89.0,0.1,0.0,71.9
Azerbaijan,2011,84.0,0.0,48.8,91.0,87.0,0.1,2.0,71.6
Azerbaijan,2010,8.0,0.0,48.0,85.0,81.0,0.1,2.0,71.1
Azerbaijan,2009,74.0,0.0,47.3,84.0,81.0,0.1,2.1,78.0
Azerbaijan,2008,68.0,5.0,46.6,85.0,81.0,0.1,1.2,73.0
Azerbaijan,2007,62.0,0.0,45.9,81.0,79.0,0.1,1.0,73.0
Azerbaijan,2006,52.0,222.0,45.3,8.0,78.0,0.1,0.9,69.2
Azerbaijan,2005,49.0,1238.0,44.7,79.0,75.0,0.1,0.7,68.4
Azerbaijan,2004,5.0,827.0,44.2,78.0,77.0,0.1,0.6,68.4
Azerbaijan,2003,51.0,1978.0,43.6,79.0,77.0,0.1,0.6,67.8
Azerbaijan,2002,5.0,4353.0,43.1,8.0,76.0,0.1,0.6,67.8
Azerbaijan,2001,0.0,574.0,42.6,77.0,77.0,0.1,0.5,67.5
Azerbaijan,2000,0.0,210.0,42.1,75.0,76.0,0.1,0.7,66.6
Bangladesh,2015,97.0,240.0,18.3,97.0,97.0,0.1,0.0,71.8
Bangladesh,2014,97.0,289.0,17.7,97.0,97.0,0.1,0.0,71.4
Bangladesh,2013,96.0,237.0,17.0,96.0,96.0,0.1,0.0,71.0
Bangladesh,2012,94.0,1986.0,16.4,94.0,94.0,0.1,0.0,77.0
Bangladesh,2011,96.0,5625.0,15.8,96.0,96.0,0.1,0.0,73.0
Bangladesh,2010,94.0,788.0,15.2,94.0,94.0,0.1,0.0,69.9
Bangladesh,2009,97.0,718.0,14.6,97.0,97.0,0.1,0.0,69.5
Bangladesh,2008,96.0,2660.0,14.0,96.0,96.0,0.1,0.0,69.1
Bangladesh,2007,95.0,2924.0,13.5,96.0,94.0,0.1,0.0,68.6
Bangladesh,2006,86.0,6192.0,13.0,95.0,94.0,0.1,0.0,68.2
Bangladesh,2005,45.0,25934.0,12.5,94.0,93.0,0.1,0.0,67.8
Bangladesh,2004,11.0,9743.0,12.0,88.0,99.0,0.1,0.0,67.3
Bangladesh,2003,5.0,4067.0,11.6,9.0,87.0,0.1,0.0,66.8
Bangladesh,2002,0.0,3484.0,11.2,83.0,83.0,0.1,0.0,66.3
Bangladesh,2001,0.0,4414.0,1.8,85.0,85.0,0.1,0.0,65.8
Bangladesh,2000,0.0,5098.0,1.4,83.0,82.0,0.1,0.0,65.3
Belarus,2015,99.0,2.0,62.3,99.0,99.0,0.1,0.0,72.3
Belarus,2014,97.0,64.0,61.7,97.0,97.0,0.1,13.9,72.0
Belarus,2013,98.0,16.0,61.1,98.0,98.0,0.1,14.7,71.7
Belarus,2012,97.0,10.0,6.5,98.0,98.0,0.1,16.4,71.9
Belarus,2011,98.0,50.0,59.9,98.0,98.0,0.1,17.3,72.0
Belarus,2010,96.0,1.0,59.3,99.0,98.0,0.1,14.4,73.0
Belarus,2009,98.0,0.0,58.7,98.0,96.0,0.1,14.1,70.0
Belarus,2008,98.0,0.0,58.2,98.0,97.0,0.1,14.7,70.0
Belarus,2007,91.0,1.0,57.7,9.0,95.0,0.1,14.2,69.8
Belarus,2006,98.0,149.0,57.2,97.0,99.0,0.1,12.6,68.9
Belarus,2005,99.0,1.0,56.7,98.0,99.0,0.1,11.0,68.1
Belarus,2004,99.0,2.0,56.2,99.0,99.0,0.1,12.1,68.2
Belarus,2003,56.0,21.0,55.8,53.0,5.0,0.1,11.2,67.7
Belarus,2002,99.0,14.0,55.3,99.0,99.0,0.1,12.2,67.2
Belarus,2001,93.0,45.0,54.9,99.0,99.0,0.1,10.7,67.7
Belarus,2000,7.0,21.0,54.4,99.0,99.0,0.1,13.0,68.0
Belgium,2015,98.0,47.0,63.7,99.0,99.0,0.1,0.0,81.1
Belgium,2014,98.0,70.0,63.4,99.0,99.0,0.1,12.6,89.0
Belgium,2013,98.0,39.0,63.0,99.0,99.0,0.1,11.8,87.0
Belgium,2012,98.0,109.0,62.6,99.0,99.0,0.1,10.1,83.0
Belgium,2011,97.0,576.0,62.3,98.0,98.0,0.1,10.1,83.0
Belgium,2010,97.0,40.0,61.9,98.0,98.0,0.1,10.2,80.0
Belgium,2009,97.0,33.0,61.6,98.0,98.0,0.1,10.1,79.8
Belgium,2008,98.0,98.0,61.3,99.0,99.0,0.1,10.5,79.5
Belgium,2007,94.0,64.0,6.9,99.0,98.0,0.1,10.3,79.5
Belgium,2006,94.0,15.0,6.6,99.0,98.0,0.1,11.0,79.4
Belgium,2005,77.0,26.0,6.2,97.0,97.0,0.1,12.3,78.9
Belgium,2004,64.0,61.0,59.8,96.0,95.0,0.1,12.1,78.8
Belgium,2003,64.0,44.0,59.4,96.0,95.0,0.1,11.3,78.3
Belgium,2002,6.0,0.0,59.0,96.0,95.0,0.1,11.3,78.0
Belgium,2001,6.0,83.0,58.5,96.0,95.0,0.1,11.0,78.0
Belgium,2000,6.0,0.0,58.1,96.0,95.0,0.1,11.2,77.6
Belize,2015,94.0,0.0,5.9,94.0,94.0,0.2,0.0,71.0
Belize,2014,95.0,0.0,5.1,95.0,95.0,0.2,6.6,70.0
Belize,2013,95.0,0.0,49.3,95.0,95.0,0.2,6.6,69.8
Belize,2012,98.0,0.0,48.5,98.0,98.0,0.1,6.7,69.4
Belize,2011,95.0,0.0,47.8,95.0,95.0,0.5,6.6,69.4
Belize,2010,96.0,0.0,47.0,96.0,96.0,0.2,6.8,69.5
Belize,2009,97.0,0.0,46.3,98.0,97.0,0.3,6.9,69.5
Belize,2008,94.0,0.0,45.7,94.0,94.0,0.1,7.2,69.6
Belize,2007,96.0,0.0,45.0,97.0,96.0,0.6,7.2,69.6
Belize,2006,98.0,0.0,44.4,98.0,98.0,0.6,6.5,69.4
Belize,2005,96.0,0.0,43.8,96.0,96.0,0.8,6.3,69.0
Belize,2004,97.0,0.0,43.2,97.0,97.0,0.8,6.2,68.7
Belize,2003,96.0,0.0,42.6,95.0,96.0,1.5,5.7,68.4
Belize,2002,97.0,0.0,42.0,93.0,89.0,0.1,5.0,68.5
Belize,2001,96.0,0.0,41.4,96.0,96.0,0.4,4.9,68.2
Belize,2000,76.0,0.0,4.8,91.0,91.0,0.3,4.8,68.3
Benin,2015,82.0,55.0,25.7,78.0,82.0,1.0,0.0,60.0
Benin,2014,78.0,786.0,25.2,74.0,78.0,1.1,0.0,59.7
Benin,2013,77.0,637.0,24.6,73.0,77.0,1.2,0.0,59.5
Benin,2012,8.0,288.0,24.1,8.0,8.0,1.3,0.0,59.3
Benin,2011,75.0,426.0,23.5,77.0,75.0,1.4,1.4,59.1
Benin,2010,76.0,392.0,23.0,77.0,76.0,1.4,1.3,58.7
Benin,2009,79.0,1461.0,22.5,8.0,79.0,1.6,1.2,58.4
Benin,2008,75.0,928.0,22.0,77.0,75.0,1.8,1.3,57.6
Benin,2007,82.0,341.0,21.5,82.0,82.0,2.0,1.1,57.1
Benin,2006,74.0,176.0,21.0,76.0,74.0,2.0,1.2,56.8
Benin,2005,7.0,210.0,2.5,73.0,7.0,2.1,1.1,56.5
Benin,2004,75.0,262.0,2.1,74.0,72.0,2.1,1.2,56.1
Benin,2003,73.0,217.0,19.7,75.0,73.0,2.1,1.4,55.8
Benin,2002,15.0,1588.0,19.2,76.0,75.0,2.1,1.2,55.6
Benin,2001,0.0,5859.0,18.8,77.0,76.0,2.1,1.3,55.5
Benin,2000,0.0,4244.0,18.4,78.0,78.0,2.0,1.3,55.4
Bhutan,2015,99.0,11.0,24.5,98.0,99.0,0.5,0.0,69.8
Bhutan,2014,99.0,0.0,23.6,98.0,99.0,0.5,0.0,69.4
Bhutan,2013,97.0,0.0,22.7,97.0,97.0,0.6,0.0,69.1
Bhutan,2012,97.0,1.0,21.9,97.0,97.0,0.6,0.0,68.7
Bhutan,2011,95.0,10.0,21.1,95.0,95.0,0.5,0.2,68.3
Bhutan,2010,91.0,21.0,2.3,92.0,91.0,0.5,0.3,67.9
Bhutan,2009,93.0,6.0,19.5,93.0,93.0,0.4,0.2,67.4
Bhutan,2008,96.0,7.0,18.8,96.0,96.0,0.4,0.2,67.0
Bhutan,2007,95.0,11.0,18.0,93.0,95.0,0.3,0.2,66.5
Bhutan,2006,95.0,2.0,17.4,96.0,95.0,0.3,0.3,65.8
Bhutan,2005,95.0,11.0,16.7,95.0,95.0,0.3,0.7,65.0
Bhutan,2004,89.0,3.0,16.1,9.0,89.0,0.3,1.0,64.2
Bhutan,2003,95.0,0.0,15.5,96.0,95.0,0.2,0.5,63.3
Bhutan,2002,83.0,27.0,14.9,89.0,86.0,0.1,0.3,62.5
Bhutan,2001,89.0,756.0,14.4,88.0,88.0,0.1,0.1,61.7
Bhutan,2000,98.0,418.0,13.9,98.0,92.0,0.1,0.2,62.0
Bosnia and Herzegovina,2015,82.0,1677.0,55.8,74.0,82.0,0.1,0.0,77.4
Bosnia and Herzegovina,2014,89.0,3000.0,55.3,86.0,86.0,0.1,4.0,77.2
Bosnia and Herzegovina,2013,91.0,0.0,54.7,87.0,89.0,0.1,4.1,77.0
Bosnia and Herzegovina,2012,92.0,22.0,54.2,87.0,92.0,0.1,4.6,76.8
Bosnia and Herzegovina,2011,88.0,10.0,53.7,89.0,88.0,0.1,4.6,76.9
Bosnia and Herzegovina,2010,89.0,45.0,53.1,9.0,89.0,0.1,4.5,76.4
Bosnia and Herzegovina,2009,9.0,22.0,52.6,9.0,9.0,0.1,4.8,76.1
Bosnia and Herzegovina,2008,88.0,8.0,52.1,92.0,91.0,0.1,5.1,76.0
Bosnia and Herzegovina,2007,94.0,166.0,51.5,95.0,95.0,0.1,5.2,75.4
Bosnia and Herzegovina,2006,9.0,17.0,51.0,91.0,87.0,0.1,4.8,75.7
Bosnia and Herzegovina,2005,93.0,23.0,5.5,95.0,93.0,0.1,4.6,75.0
Bosnia and Herzegovina,2004,36.0,28.0,49.9,87.0,84.0,0.1,4.3,75.5
Bosnia and Herzegovina,2003,0.0,18.0,49.4,87.0,87.0,0.1,4.1,75.2
Bosnia and Herzegovina,2002,0.0,28.0,48.8,86.0,8.0,0.1,3.8,75.4
Bosnia and Herzegovina,2001,0.0,0.0,48.2,92.0,91.0,0.1,3.9,74.9
Bosnia and Herzegovina,2000,0.0,43.0,47.6,87.0,85.0,0.1,3.6,74.6
Botswana,2015,95.0,0.0,37.9,96.0,95.0,2.2,0.0,65.7
Botswana,2014,95.0,1.0,37.3,96.0,95.0,2.3,0.0,65.1
Botswana,2013,95.0,1.0,36.8,96.0,95.0,2.8,0.0,64.2
Botswana,2012,95.0,7.0,36.2,96.0,95.0,4.4,0.0,63.4
Botswana,2011,95.0,8.0,35.7,96.0,95.0,5.5,5.8,62.2
Botswana,2010,95.0,853.0,35.2,96.0,95.0,6.2,6.0,61.1
Botswana,2009,94.0,184.0,34.7,96.0,96.0,9.0,5.0,59.2
Botswana,2008,94.0,0.0,34.2,96.0,96.0,12.7,6.6,57.5
Botswana,2007,93.0,1.0,33.7,96.0,96.0,13.4,6.2,56.9
Botswana,2006,93.0,6.0,33.2,96.0,96.0,14.4,6.5,54.8
Botswana,2005,92.0,5.0,32.7,96.0,96.0,20.6,6.4,51.7
Botswana,2004,91.0,1.0,32.2,96.0,96.0,28.4,4.9,48.1
Botswana,2003,9.0,59.0,31.6,96.0,96.0,31.9,5.5,46.4
Botswana,2002,88.0,7.0,31.1,97.0,97.0,34.6,6.4,46.0
Botswana,2001,87.0,1.0,3.5,97.0,97.0,37.2,5.5,46.7
Botswana,2000,86.0,2672.0,29.9,97.0,97.0,38.8,5.4,47.8
Brazil,2015,96.0,214.0,56.1,98.0,96.0,0.1,0.0,75.0
Brazil,2014,96.0,876.0,55.3,96.0,93.0,0.1,7.3,74.8
Brazil,2013,96.0,220.0,54.5,96.0,97.0,0.1,7.2,74.7
Brazil,2012,96.0,2.0,53.6,96.0,95.0,0.1,7.6,74.5
Brazil,2011,98.0,43.0,52.8,98.0,99.0,0.1,7.6,74.1
Brazil,2010,96.0,68.0,52.0,99.0,99.0,0.1,7.5,73.8
Brazil,2009,99.0,0.0,51.1,99.0,99.0,0.1,7.3,73.6
Brazil,2008,96.0,0.0,5.3,99.0,99.0,0.1,7.2,73.4
Brazil,2007,99.0,0.0,49.4,99.0,99.0,0.1,7.2,73.3
Brazil,2006,99.0,57.0,48.6,99.0,99.0,0.1,7.1,73.0
Brazil,2005,98.0,6.0,47.8,99.0,99.0,0.1,7.0,72.7
Brazil,2004,96.0,0.0,46.9,99.0,99.0,0.1,6.9,72.0
Brazil,2003,97.0,2.0,46.1,99.0,99.0,0.1,7.0,71.8
Brazil,2002,92.0,1.0,45.3,99.0,99.0,0.1,7.0,71.4
Brazil,2001,91.0,1.0,44.5,99.0,98.0,0.1,7.1,71.0
Brazil,2000,94.0,36.0,43.7,99.0,98.0,0.1,7.3,75.0
Bulgaria,2015,92.0,0.0,65.7,91.0,91.0,0.1,0.0,74.5
Bulgaria,2014,95.0,0.0,65.1,88.0,88.0,0.1,12.0,74.3
Bulgaria,2013,95.0,14.0,64.5,95.0,95.0,0.1,12.1,74.1
Bulgaria,2012,95.0,1.0,63.9,95.0,95.0,0.1,11.0,73.9
Bulgaria,2011,96.0,157.0,63.3,95.0,95.0,0.1,10.7,73.7
Bulgaria,2010,95.0,22004.0,62.7,94.0,94.0,0.1,10.8,73.4
Bulgaria,2009,96.0,2249.0,62.1,94.0,94.0,0.1,10.9,73.2
Bulgaria,2008,96.0,1.0,61.5,96.0,95.0,0.1,11.0,72.9
Bulgaria,2007,95.0,1.0,6.9,95.0,95.0,0.1,10.9,72.6
Bulgaria,2006,96.0,1.0,6.3,96.0,95.0,0.1,10.4,72.2
Bulgaria,2005,96.0,3.0,59.7,97.0,96.0,0.1,10.5,72.1
Bulgaria,2004,94.0,0.0,59.1,94.0,95.0,0.1,11.0,72.2
Bulgaria,2003,96.0,0.0,58.6,96.0,96.0,0.1,11.2,72.0
Bulgaria,2002,88.0,0.0,58.1,94.0,93.0,0.1,10.2,71.8
Bulgaria,2001,93.0,8.0,57.5,94.0,94.0,0.1,10.7,71.6
Bulgaria,2000,94.0,46.0,57.0,94.0,93.0,0.1,9.7,71.1
Burkina Faso,2015,91.0,99.0,19.4,91.0,91.0,0.6,0.0,59.9
Burkina Faso,2014,91.0,343.0,18.8,91.0,91.0,0.6,0.0,59.3
Burkina Faso,2013,88.0,375.0,18.2,89.0,88.0,0.7,4.6,59.0
Burkina Faso,2012,9.0,7362.0,17.7,9.0,9.0,0.8,4.8,58.6
Burkina Faso,2011,91.0,860.0,17.1,9.0,91.0,0.9,4.5,58.1
Burkina Faso,2010,91.0,2511.0,16.6,9.0,91.0,1.0,4.6,57.5
Burkina Faso,2009,92.0,54118.0,16.1,91.0,92.0,1.1,4.6,56.9
Burkina Faso,2008,93.0,395.0,15.6,92.0,93.0,1.5,4.5,56.1
Burkina Faso,2007,89.0,12.0,15.1,93.0,89.0,1.7,4.6,55.3
Burkina Faso,2006,76.0,125.0,14.6,94.0,86.0,2.0,4.7,54.3
Burkina Faso,2005,0.0,253.0,14.2,94.0,82.0,2.3,4.9,53.3
Burkina Faso,2004,0.0,77.0,13.7,83.0,79.0,2.5,4.5,52.4
Burkina Faso,2003,0.0,2946.0,13.3,83.0,79.0,2.9,4.6,51.6
Burkina Faso,2002,0.0,1744.0,12.9,69.0,69.0,3.2,4.5,51.0
Burkina Faso,2001,0.0,4174.0,12.5,62.0,62.0,3.6,4.6,56.0
Burkina Faso,2000,0.0,6074.0,12.2,45.0,45.0,4.0,3.7,51.0
Burundi,2015,94.0,9.0,18.7,94.0,94.0,0.7,0.0,59.6
Burundi,2014,95.0,0.0,18.2,95.0,95.0,0.7,0.0,59.1
Burundi,2013,96.0,0.0,17.6,96.0,96.0,1.0,0.0,58.6
Burundi,2012,96.0,49.0,17.1,96.0,96.0,1.2,0.0,58.0
Burundi,2011,96.0,129.0,16.6,95.0,96.0,1.5,4.2,57.4
Burundi,2010,96.0,495.0,16.1,94.0,96.0,1.9,4.2,56.8
Burundi,2009,94.0,305.0,15.7,96.0,94.0,2.4,4.1,56.2
Burundi,2008,92.0,173.0,15.2,89.0,92.0,2.9,4.3,55.3
Burundi,2007,99.0,43.0,14.8,93.0,99.0,3.4,4.5,54.8
Burundi,2006,92.0,784.0,14.5,88.0,92.0,3.8,4.5,54.1
Burundi,2005,87.0,0.0,14.1,82.0,87.0,4.3,5.5,53.4
Burundi,2004,83.0,2.0,13.8,76.0,83.0,4.8,5.7,52.6
Burundi,2003,0.0,224.0,13.5,75.0,82.0,5.1,5.8,51.9
Burundi,2002,0.0,1016.0,13.3,74.0,81.0,5.2,6.0,51.5
Burundi,2001,0.0,0.0,13.0,72.0,81.0,5.3,6.1,51.3
Burundi,2000,0.0,18363.0,12.8,71.0,8.0,5.2,6.6,58.0
Cabo Verde,2015,96.0,0.0,31.3,93.0,93.0,0.2,0.0,73.3
Cabo Verde,2014,97.0,0.0,3.5,95.0,95.0,0.2,0.0,73.0
Cabo Verde,2013,94.0,0.0,29.7,93.0,93.0,0.2,0.0,72.8
